company_id,company_name,segment,city,country,employee_count,annual_shipments_est,source,created_at,owner_id
co_0030,Bengal Supply 30,Retail Distribution,Rajshahi,Bangladesh,12.0,11616,LinkedIn,2025-06-24,own_001
co_0031,Jamuna Fulfilment 31,Retail Distribution,Sylhet,Bangladesh,80.0,154960,Event,2026-01-14,own_001
co_0032,Shapla Supply 32,3PL,Narayanganj,Bangladesh,45.0,92115,Partner,2026-03-20,own_002
co_0033,Anchor Logistics 33,3PL,Rajshahi,Bangladesh,140.0,193060,Referral,2026-01-23,own_001
co_0034,Shapla Express 34,E-commerce Fulfilment,Chittagong,Bangladesh,45.0,46215,Partner,2025-07-26,own_001
co_0035,Shapla Fulfilment 35,Cold Chain,Gazipur,Bangladesh,520.0,463840,website,2025-12-08,own_001
co_0036,Shapla Courier 36,E-commerce Fulfilment,Dhaka,Bangladesh,520.0,665600,website,2026-05-16,own_001
co_0037,Tiger Supply 37,3PL,Gazipur,Bangladesh,260.0,410540,Unknown,2026-07-11,own_002
co_0038,Tiger Express 38,E-commerce Fulfilment,Gazipur,Bangladesh,12.0,19584,Referral,2025-11-03,own_001
co_0039,Padma Express 39,Pharma Distribution,Chittagong,Bangladesh,140.0,94780,Partner,2025-10-05,own_001
co_0040,Jamuna Distribution 40,Courier,Chittagong,Bangladesh,45.0,78885,Partner,2025-04-27,own_002
co_0041,Rapid Courier 41,Courier,Chittagong,Bangladesh,80.0,67600,Referral,2025-11-01,own_002
co_0042,Padma Supply 42,Retail Distribution,Narayanganj,Bangladesh,45.0,62820,Event,2025-04-27,own_001
co_0043,Rapid Fulfilment 43,Retail Distribution,Narayanganj,Bangladesh,260.0,404560,Event,2025-03-26,own_001
co_0044,Anchor Supply 44,Pharma Distribution,Gazipur,Bangladesh,12.0,12324,Outbound,2025-09-26,own_002
co_0045,Tiger Distribution 45,Cold Chain,Sylhet,Bangladesh,25.0,52475,Referral,2025-04-30,own_002
co_0046,Tiger Express 46,Pharma Distribution,Narayanganj,Bangladesh,80.0,125520,LinkedIn,2025-04-09,own_002
co_0047,Rapid Courier 47,Cold Chain,Gazipur,Bangladesh,140.0,220080,linked in,2025-08-10,own_002
co_0048,Rapid Fulfilment 48,Cold Chain,Cumilla,Bangladesh,260.0,141700,,2026-04-20,own_001
co_0049,Meghna Express 49,E-commerce Fulfilment,Dhaka,Bangladesh,140.0,116340,,2025-05-05,own_001
co_0050,Nexa Courier 50,Retail Distribution,Dhaka,Bangladesh,45.0,52380,Unknown,2025-10-30,own_002
co_0051,Rapid Fulfilment 51,3PL,Gazipur,Bangladesh,45.0,74070,Referral,2025-07-01,own_002
co_0052,Delta Supply 52,E-commerce Fulfilment,Khulna,Bangladesh,140.0,168700,website,2025-12-26,own_001
co_0053,Shapla Distribution 53,E-commerce Fulfilment,Rajshahi,Bangladesh,260.0,166400,Referral,2025-03-14,own_001
co_0054,Bengal Express 54,Courier,Chittagong,Bangladesh,45.0,35550,,2025-06-16,own_001
co_0055,Padma Logistics 55,Courier,Gazipur,Bangladesh,12.0,10044,Referral,2025-02-25,own_001
co_0056,Meghna Logistics 56,E-commerce Fulfilment,Dhaka,Bangladesh,12.0,19464,Outbound,2025-01-23,own_001
co_0057,Tiger Logistics 57,Courier,Narayanganj,Bangladesh,260.0,136760,LinkedIn,2026-01-01,own_001
co_0058,Delta Express 58,E-commerce Fulfilment,Chittagong,Bangladesh,80.0,134400,,2025-02-27,own_001
co_0059,Jamuna Distribution 59,Pharma Distribution,Khulna,Bangladesh,80.0,160880,Event,2025-06-17,own_002
co_0060,Anchor Fulfilment 60,3PL,Rajshahi,Bangladesh,25.0,53225,Referral,2026-04-22,own_001
co_0061,Padma Supply 61,3PL,Khulna,Bangladesh,45.0,94185,,2025-11-27,own_001
co_0062,Nexa Fulfilment 62,Cold Chain,Khulna,Bangladesh,140.0,142240,Referral,2025-01-05,own_001
co_0063,Shapla Logistics 63,Courier,Sylhet,Bangladesh,45.0,98955,Unknown,2026-03-02,own_002
co_0064,Rapid Logistics 64,Retail Distribution,Rajshahi,Bangladesh,25.0,14525,linked in,2025-04-19,own_002
co_0065,Tiger Courier 65,Courier,Sylhet,Bangladesh,45.0,34245,Unknown,2025-01-19,own_001
co_0066,Delta Express 66,Cold Chain,Khulna,Bangladesh,12.0,11256,website,2025-09-16,own_001
co_0067,Bengal Express 67,Retail Distribution,Chittagong,Bangladesh,520.0,318760,LinkedIn,2025-07-17,own_001
co_0068,Jamuna Express 68,E-commerce Fulfilment,Chittagong,Bangladesh,80.0,61360,website,2026-05-20,own_002
co_0069,Shapla Distribution 69,Retail Distribution,Narayanganj,Bangladesh,80.0,160960,website,2025-11-22,own_001
co_0070,Meghna Distribution 70,Cold Chain,Dhaka,Bangladesh,12.0,14112,Event,2025-04-20,own_002
co_0071,Bengal Express 71,Pharma Distribution,Sylhet,Bangladesh,80.0,117840,Outbound,2026-03-16,own_002
co_0072,Jamuna Logistics 72,Courier,Cumilla,Bangladesh,25.0,43525,Outbound,2025-11-11,own_002
co_0073,Meghna Express 73,Retail Distribution,Dhaka,Bangladesh,260.0,158860,Website,2026-06-14,own_002
co_0074,Nexa Distribution 74,Retail Distribution,Khulna,Bangladesh,12.0,11520,LinkedIn,2025-07-05,own_002
co_0075,Anchor Express 75,Pharma Distribution,Cumilla,Bangladesh,140.0,217840,Outbound,2026-05-15,own_002
co_0076,Bengal Logistics 76,Courier,Gazipur,Bangladesh,12.0,25824,LinkedIn,2025-05-26,own_002
co_0077,Rapid Fulfilment 77,3PL,Gazipur,Bangladesh,25.0,52675,,2026-07-11,own_002
co_0078,Anchor Express 78,Pharma Distribution,Narayanganj,Bangladesh,45.0,43560,Website,2026-02-12,own_002
co_0079,Meghna Courier 79,3PL,Narayanganj,Bangladesh,25.0,14200,Partner,2025-04-27,own_001
co_0080,Nexa Courier 80,3PL,Gazipur,Bangladesh,80.0,121760,website,2026-06-29,own_002
co_0005,Shapla Express 5,E-commerce Fulfilment,Chittagong,Bangladesh,25.0,50900,Outbound,2025-07-09,own_001
co_0012,Meghna Fulfilment 12,Courier,Khulna,Bangladesh,80.0,57280,Event,2026-02-18,own_001
